TransactionID,ProductID,CustomerID,StaffID,Date,Quantity,UnitPrice,StoreLocation,PaymentType,PromotionApplied,Weather,Temperature,StaffPerformanceRating,CustomerFeedback,DeliveryTime_min,OrderType,DayOfWeek,TotalSales
0,0,0,0,2023-01-01 00:00:00,2,12.53230415,South,Cash,True,Rainy,20.65491393,Poor,Neutral,30,In Store,Sunday,25.0646083
1,1,1,1,2023-01-01 01:00:00,1,7.083069896,South,Cash,False,Rainy,23.54949697,Average,Positive,33,In Store,Sunday,7.083069896
2,2,2,2,2023-01-01 02:00:00,5,6.7360641,North,Cash,True,Rainy,27.154342182855554,Excellent,unknown,43,Phone Order,Sunday,33.6803205
3,3,3,3,2023-01-01 03:00:00,2,7.314823479,North,Cash,False,Cloudy,20.13748325,Poor,Positive,32,Online Order,Sunday,14.62964696
4,4,4,4,2023-01-01 04:00:00,1,7.57772722,East,Credit Card,True,Cloudy,23.02098654,Good,Neutral,58,In Store,Sunday,7.57772722
5,1,5,5,2023-01-01 05:00:00,2,14.56815639,West,Cash,True,Rainy,27.154342182855554,Poor,Neutral,30,Phone Order,Sunday,29.13631278
6,1,6,6,2023-01-01 06:00:00,3,16.11471875,North,Credit Card,False,Cloudy,29.2010277,Excellent,unknown,15,In Store,Sunday,48.34415626
7,3,7,7,2023-01-01 07:00:00,5,12.94987284,West,Online,False,Sunny,27.154342182855554,Average,Positive,16,Online Order,Sunday,64.74936422
8,3,8,8,2023-01-01 08:00:00,4,17.43526599,East,Cash,True,Rainy,27.154342182855554,Poor,Neutral,29,Phone Order,Sunday,69.74106395
9,5,9,9,2023-01-01 09:00:00,2,19.8689484,West,Credit Card,False,Rainy,20.42287011,Average,Neutral,53,In Store,Sunday,39.7378968
10,2,10,10,2023-01-01 10:00:00,3,17.30018944,South,Online,False,Cloudy,27.154342182855554,Good,Neutral,42,In Store,Sunday,51.90056831
11,3,11,11,2023-01-01 11:00:00,4,15.42323561,West,Online,False,Rainy,33.22228729,Poor,Positive,15,In Store,Sunday,61.69294242
12,6,12,12,2023-01-01 12:00:00,4,12.98739049,East,Online,True,Sunny,26.23870481,Poor,Positive,19,Online Order,Sunday,51.94956197
13,7,13,13,2023-01-01 13:00:00,2,11.73279608,East,Credit Card,False,Cloudy,30.80500054,Good,Negative,56,Phone Order,Sunday,23.46559215
14,4,14,14,2023-01-01 14:00:00,1,6.265885708,East,Cash,False,Cloudy,33.77427553,Good,Positive,36,Phone Order,Sunday,6.265885708
15,2,15,15,2023-01-01 15:00:00,2,10.99053123,West,Cash,True,Rainy,26.12060692,Good,Neutral,50,Phone Order,Sunday,21.98106245
16,6,16,16,2023-01-01 16:00:00,3,18.65201955,South,Credit Card,False,Rainy,22.86916057,Excellent,Negative,27,In Store,Sunday,55.95605866
17,0,17,17,2023-01-01 17:00:00,4,17.12033945,North,Cash,False,Rainy,27.75676896,Excellent,Positive,15,Phone Order,Sunday,68.48135779
18,3,18,18,2023-01-01 18:00:00,2,8.240770475,South,Credit Card,True,Cloudy,33.62125531,Poor,Positive,30,In Store,Sunday,16.48154095
19,3,19,19,2023-01-01 19:00:00,1,11.99911677,West,Cash,True,Rainy,32.06561621,Poor,Positive,55,Online Order,Sunday,11.99911677
20,1,20,20,2023-01-01 20:00:00,2,17.25084804,West,Online,False,Sunny,20.98744765,Poor,Positive,36,Phone Order,Sunday,34.50169608
21,6,21,21,2023-01-01 21:00:00,5,6.010768322,North,Cash,False,Rainy,30.388592,Average,unknown,46,In Store,Sunday,30.05384161
22,1,22,22,2023-01-01 22:00:00,1,10.81088879,West,Credit Card,True,Rainy,28.57846284,Good,Positive,30,Phone Order,Sunday,10.81088879
23,5,23,23,2023-01-01 23:00:00,3,17.77761855,East,Credit Card,True,Cloudy,33.61194765,Poor,Neutral,29,Phone Order,Sunday,53.33285566
24,1,24,24,2023-01-02 00:00:00,4,11.05846796,East,Online,False,Rainy,21.83722125,Good,Neutral,56,Online Order,Monday,44.23387185
25,5,25,25,2023-01-02 01:00:00,2,6.164219671,East,Credit Card,False,Cloudy,28.0105417,Excellent,Neutral,26,Phone Order,Monday,12.32843934
26,5,26,26,2023-01-02 02:00:00,1,13.13801553,East,Cash,False,Rainy,33.1919404,Good,unknown,15,Online Order,Monday,13.13801553
27,3,27,27,2023-01-02 03:00:00,5,17.92613742,East,Cash,True,Sunny,26.1503568,Average,unknown,31,Phone Order,Monday,89.63068712
28,0,28,28,2023-01-02 04:00:00,1,13.85428314,West,Online,False,Sunny,27.22992377,Average,Positive,55,Phone Order,Monday,13.85428314
29,1,29,29,2023-01-02 05:00:00,5,8.394186623,North,Credit Card,True,Cloudy,21.05691017,Good,Negative,42,Phone Order,Monday,41.97093312
30,6,30,30,2023-01-02 06:00:00,3,10.7635943,North,Online,True,Cloudy,24.17215461,Average,Positive,21,Phone Order,Monday,32.29078291
31,5,31,31,2023-01-02 07:00:00,4,11.75185042,East,Cash,True,Rainy,27.154342182855554,Average,Neutral,23,Phone Order,Monday,47.00740167
32,3,32,32,2023-01-02 08:00:00,3,13.68899531,West,Online,False,Rainy,34.17683673,Excellent,Positive,36,Phone Order,Monday,41.06698592
33,4,33,33,2023-01-02 09:00:00,2,16.39026539,South,Credit Card,False,Sunny,24.24001041,Poor,Negative,40,Online Order,Monday,32.78053077
34,2,34,34,2023-01-02 10:00:00,1,6.483104265,South,Online,False,Rainy,26.91303103,Average,Negative,26,Online Order,Monday,6.483104265
35,0,35,35,2023-01-02 11:00:00,5,18.3447805,West,Credit Card,True,Sunny,30.06956635,Poor,Positive,21,In Store,Monday,91.72390248
36,8,36,36,2023-01-02 12:00:00,5,5.184645545,East,Credit Card,False,Cloudy,27.154342182855554,Good,Positive,29,Phone Order,Monday,25.92322773
37,4,37,37,2023-01-02 13:00:00,1,10.55078502,North,Cash,True,Rainy,27.29663581,Good,Positive,52,Online Order,Monday,10.55078502
38,2,38,38,2023-01-02 14:00:00,1,5.41130465,West,Cash,True,Cloudy,31.07808559,Average,Negative,35,Phone Order,Monday,5.41130465
39,4,39,39,2023-01-02 15:00:00,2,10.89461338,South,Cash,True,Rainy,33.0028282,Good,Neutral,28,Phone Order,Monday,21.78922676
40,1,40,40,2023-01-02 16:00:00,3,12.88718898,South,Credit Card,True,Sunny,29.39388912,Excellent,unknown,16,Online Order,Monday,38.66156695
41,5,41,41,2023-01-02 17:00:00,5,12.6752208,South,Online,True,Cloudy,30.03580273,Average,Neutral,22,Phone Order,Monday,63.37610399
42,0,42,42,2023-01-02 18:00:00,2,7.484425205,East,Credit Card,True,Cloudy,27.154342182855554,Average,Negative,59,Online Order,Monday,14.96885041
43,7,43,43,2023-01-02 19:00:00,3,14.68610765,South,Cash,False,Rainy,34.18664746,Average,Positive,20,Online Order,Monday,44.05832295
44,5,44,44,2023-01-02 20:00:00,2,5.671676758,West,Cash,True,Cloudy,21.98861116,Good,Positive,51,In Store,Monday,11.34335352
45,7,45,45,2023-01-02 21:00:00,5,16.4286023,West,Online,False,Sunny,27.154342182855554,Good,Negative,51,In Store,Monday,82.14301151
46,2,46,46,2023-01-02 22:00:00,1,19.19966651,South,Cash,True,Cloudy,23.97224483,Average,Positive,47,In Store,Monday,19.19966651
47,3,47,47,2023-01-02 23:00:00,1,10.09653241,West,Cash,False,Cloudy,34.00389716,Poor,Neutral,55,In Store,Monday,10.09653241
48,8,48,48,2023-01-03 00:00:00,3,12.75859073,South,Cash,False,Rainy,30.79939309,Good,Negative,20,Phone Order,Tuesday,38.27577218
49,6,49,49,2023-01-03 01:00:00,4,10.68365417,South,Online,False,Cloudy,31.30720569,Good,Negative,40,Phone Order,Tuesday,42.73461668
50,5,50,50,2023-01-03 02:00:00,3,5.100655855,North,Credit Card,False,Rainy,23.2858876,Average,Positive,53,In Store,Tuesday,15.30196756
51,0,51,51,2023-01-03 03:00:00,4,10.78811754,East,Cash,True,Rainy,26.64559965,Poor,Negative,55,Online Order,Tuesday,43.15247017
52,4,52,52,2023-01-03 04:00:00,2,16.87580389,East,Online,True,Cloudy,29.26719792,Average,Positive,51,Online Order,Tuesday,33.75160778
53,0,53,53,2023-01-03 05:00:00,2,13.93983263,North,Cash,True,Sunny,27.154342182855554,Good,Positive,28,Online Order,Tuesday,27.87966527
54,2,54,54,2023-01-03 06:00:00,5,6.518898719,North,Online,True,Rainy,21.55939064,Average,Negative,51,Online Order,Tuesday,32.5944936
55,7,55,55,2023-01-03 07:00:00,4,17.70709235,East,Cash,False,Cloudy,34.43547975,Average,Positive,22,Phone Order,Tuesday,70.82836938
56,4,56,56,2023-01-03 08:00:00,5,12.96628017,South,Online,False,Rainy,33.35331006,Average,unknown,53,Online Order,Tuesday,64.83140087
57,6,57,57,2023-01-03 09:00:00,1,17.62585043,South,Cash,False,Sunny,27.154342182855554,Poor,Neutral,27,Online Order,Tuesday,17.62585043
58,6,58,58,2023-01-03 10:00:00,4,13.70332278,East,Credit Card,True,Sunny,32.34140365,Average,Positive,27,In Store,Tuesday,54.81329113
59,5,59,59,2023-01-03 11:00:00,3,13.39532667,South,Cash,False,Rainy,27.154342182855554,Good,unknown,54,Online Order,Tuesday,40.18598002
60,2,60,60,2023-01-03 12:00:00,1,6.578887778,North,Online,True,Sunny,26.92709722,Average,Positive,57,Phone Order,Tuesday,6.578887778
61,3,61,61,2023-01-03 13:00:00,1,7.510395997,South,Cash,False,Cloudy,24.71651159,Poor,Neutral,42,Online Order,Tuesday,7.510395997
62,2,62,62,2023-01-03 14:00:00,3,19.58037885,South,Credit Card,False,Cloudy,28.7145288,Excellent,Negative,32,Online Order,Tuesday,58.74113654
63,7,63,63,2023-01-03 15:00:00,1,8.427301201,West,Cash,False,Rainy,27.154342182855554,Poor,Positive,33,Phone Order,Tuesday,8.427301201
64,0,64,64,2023-01-03 16:00:00,4,19.66178177,West,Online,False,Sunny,26.16399357,Average,Positive,52,In Store,Tuesday,78.64712708
65,6,65,65,2023-01-03 17:00:00,5,12.9786906,West,Online,False,Cloudy,29.4382879,Excellent,Positive,46,Phone Order,Tuesday,64.89345299
66,0,66,66,2023-01-03 18:00:00,1,7.036835706,South,Credit Card,True,Cloudy,30.48969382,Average,Positive,36,In Store,Tuesday,7.036835706
67,0,67,67,2023-01-03 19:00:00,4,6.489533041,East,Online,False,Cloudy,30.66682726,Poor,unknown,16,Online Order,Tuesday,25.95813217
68,0,68,68,2023-01-03 20:00:00,2,8.132961061,North,Cash,True,Rainy,20.77949147,Excellent,Positive,27,In Store,Tuesday,16.26592212
69,6,69,69,2023-01-03 21:00:00,4,18.88455995,South,Cash,True,Rainy,27.154342182855554,Excellent,Negative,37,In Store,Tuesday,75.5382398
70,1,70,70,2023-01-03 22:00:00,5,11.21225336,East,Cash,True,Cloudy,26.87379972,Average,Negative,39,In Store,Tuesday,56.06126682
71,7,71,71,2023-01-03 23:00:00,4,10.93151402,South,Online,True,Cloudy,23.93624123,Average,Neutral,42,Online Order,Tuesday,43.72605608
72,7,72,72,2023-01-04 00:00:00,3,9.698093916,North,Cash,True,Sunny,23.62646761,Poor,Positive,25,In Store,Wednesday,29.09428175
73,4,73,73,2023-01-04 01:00:00,5,7.205927758,South,Cash,True,Sunny,27.24521169,Average,Neutral,47,In Store,Wednesday,36.02963879
74,2,74,74,2023-01-04 02:00:00,2,12.31776796,North,Cash,True,Sunny,33.30247309,Excellent,Neutral,38,Online Order,Wednesday,24.63553592
75,2,75,75,2023-01-04 03:00:00,3,6.950716738,South,Credit Card,True,Rainy,25.67521373,Good,unknown,16,Phone Order,Wednesday,20.85215021
76,8,76,76,2023-01-04 04:00:00,4,17.53220355,North,Online,False,Cloudy,31.2458862,Good,Neutral,44,Phone Order,Wednesday,70.12881418
77,2,77,77,2023-01-04 05:00:00,5,10.55595479,South,Online,False,Rainy,21.45228096,Poor,Negative,31,Phone Order,Wednesday,52.77977397
78,6,78,78,2023-01-04 06:00:00,2,10.62205352,North,Online,True,Cloudy,27.14085053,Average,Neutral,54,Online Order,Wednesday,21.24410703
79,3,79,79,2023-01-04 07:00:00,3,12.11009643,West,Credit Card,True,Sunny,34.87529211,Poor,Positive,48,Online Order,Wednesday,36.33028928
80,5,80,80,2023-01-04 08:00:00,2,11.6619157,South,Online,True,Sunny,31.55656704,Good,Neutral,52,Phone Order,Wednesday,23.32383139
81,8,81,81,2023-01-04 09:00:00,4,19.9228696,South,Credit Card,False,Sunny,23.15792733,Good,Negative,36,In Store,Wednesday,79.69147838
82,5,82,82,2023-01-04 10:00:00,2,13.18071682,East,Credit Card,False,Sunny,27.52162211,Average,Negative,19,Phone Order,Wednesday,26.36143364
83,7,83,83,2023-01-04 11:00:00,1,6.323025557,East,Online,True,Cloudy,23.50437145,Excellent,Negative,54,Online Order,Wednesday,6.323025557
84,5,84,84,2023-01-04 12:00:00,3,14.10316012,North,Cash,True,Sunny,26.14341391,Average,Neutral,30,In Store,Wednesday,42.30948037
85,5,85,85,2023-01-04 13:00:00,2,7.273764393,South,Cash,False,Cloudy,31.70126036,Good,Neutral,27,In Store,Wednesday,14.54752879
86,8,86,86,2023-01-04 14:00:00,4,5.464064671,North,Online,False,Cloudy,31.56837223,Excellent,Negative,40,Online Order,Wednesday,21.85625868
87,4,87,87,2023-01-04 15:00:00,4,19.56113231,West,Online,True,Rainy,23.42150567,Poor,unknown,45,In Store,Wednesday,78.24452922
88,0,88,88,2023-01-04 16:00:00,2,16.60308337,East,Credit Card,True,Sunny,27.154342182855554,Good,Positive,53,Phone Order,Wednesday,33.20616675
89,2,89,89,2023-01-04 17:00:00,4,19.70163489,North,Online,True,Sunny,28.88852274,Poor,Neutral,37,Online Order,Wednesday,78.80653954
90,2,90,90,2023-01-04 18:00:00,5,12.16817672,North,Credit Card,True,Rainy,25.69886436,Excellent,Neutral,26,Online Order,Wednesday,60.8408836
91,6,91,91,2023-01-04 19:00:00,5,12.98386297,East,Online,False,Cloudy,27.52903371,Poor,Negative,28,Online Order,Wednesday,64.91931484
92,8,92,92,2023-01-04 20:00:00,5,7.525054339,South,Cash,False,Sunny,29.0760688,Good,Neutral,32,Online Order,Wednesday,37.62527169
93,6,93,93,2023-01-04 21:00:00,1,8.7036114,North,Cash,True,Cloudy,28.39835798,Average,Neutral,41,In Store,Wednesday,8.7036114
94,3,94,94,2023-01-04 22:00:00,2,17.57823822,East,Online,True,Rainy,27.29607553,Poor,Negative,42,Online Order,Wednesday,35.15647645
95,3,95,95,2023-01-04 23:00:00,1,10.34278471,South,Credit Card,True,Cloudy,27.57399206,Good,Negative,32,Online Order,Wednesday,10.34278471
96,6,96,96,2023-01-05 00:00:00,4,17.40222461,West,Cash,False,Sunny,22.64617866,Good,Neutral,30,In Store,Thursday,69.60889843
97,8,97,97,2023-01-05 01:00:00,1,15.63520586,East,Credit Card,True,Cloudy,27.154342182855554,Excellent,Positive,30,Online Order,Thursday,15.63520586
98,6,98,98,2023-01-05 02:00:00,4,7.657563879,North,Online,True,Cloudy,28.1264048,Good,unknown,27,In Store,Thursday,30.63025552
